word,definition,,
desk,n. 书桌,,
discriminate,v.区分；歧视,,
illicit,a.违法的,,
preserve,v.保护；保存,,
transformation,n.转变，转化,,
cosmopolitanism,n.世界性，世界主义,,
bifurcate,v.分为两支，分叉,,
connive,v.默许；纵容(错误)；共谋(阴谋),,
banal,a.陈腐的，乏味的,,
narrow,adj.狭窄的；狭隘的 v.变窄,,
filter,n.滤纸；v.过滤,,
sneer,v.嘲笑，鄙视,,
seam,n.缝，接缝(尤指布),,
punishment,n.惩罚，刑罚,,
rejuvenate,v.使年轻,,
monotony,n.单调，千篇一律,,
scabrous,a.粗糙的,,
audacious,a.大胆的；愚勇的,,
enjoin,v.命令，吩咐,,
startle,v.使吃惊,,
grievous,a.痛苦的，悲伤的；极严重的,,
brassy,a.厚脸皮的，无礼的,,
celestial,a.天体的，天上的,,
inordinate,a.过度的，过分的,,
groan,v./n.呻吟，哀叹,,
climactic,a.高潮的,,
frail,a.（物）易破碎的，脆弱的；（人身体）不坚实的,,
highbrow,n.自以为文化修养很高的人,,
reside,v.(永久性)居住，定居,,
feisty,a.活跃的；易怒的,,
veer,v.转向，改变(话题等),,
fermentation,n.发酵,,
providential,a.幸运的；(时机)恰到好处的,,
recess,n.壁凹(墙上装的架子、柜子等凹处)；(工作)休假期；(法庭、国会)休庭期,,
obfuscate,v.使困惑，使迷惑,,
glare,v.发出眩目光芒；怒目而视,,
bluff,n.虚张声势；悬崖峭壁,,
reclaim,v.纠正(错误)；开垦(土地),,
clot,n.凝块；v.使凝结成块,,
ogle,v.送秋波，色迷迷地看(女子)；n.媚眼,,
double-cross,v.欺骗，出卖,,
orbital,adj.轨道的,,
stagnant,a.停滞的，不发展的，不景气的,,
poll,n.民意测验；选举投票,,
regulatory,adj.按规矩来的，依照规章的；调整的,,
disdain,n./v.轻视，鄙视,,
filth,n.肮脏，污物；下流的语言,,
flickering,a.闪烁的，摇曳的，忽隐忽现的,,
repartee,n.快速机灵的回答,,
ignite,v.发光；点燃，燃烧,,
pod,n.豆荚；v.剥掉(豆荚),,
defraud,v.欺骗某人,,
substance,n.要意，主旨，实质；物质,,
caress,n.爱抚，抚摸；v.爱抚或抚摸某人,,
checkered,a.多变的,,
demure,a.严肃的，矜持的,,
preempt,v.以优先购买权取得；取代,,
emend,v.订正，校订,,
chorale,n.赞美诗；合唱队,,
containment,n.阻止，遏制,,
extrude,v.挤出，推出，逐出,,
plunder,v.抢劫，掠夺,,
uncanny,a.不可思议的，异乎寻常的,,
document,n.文件 v.为…提供书面证明,,
mirage,n.幻影，海市蜃楼,,
apposite,a.适当的，恰当的,,
pathological,a.病态的；病理的,,
confusion,n.困惑，糊涂；混乱，骚乱；,,
servile,a.奴性的，百依百顺的,,
stun,v.使震惊，打晕,,
explicate,v.详细解说（思想、作品等）,,
initial,a.开始的，最初的；n.(姓名的)首字母,,
collate,v.对照，核对,,
specialization,n.特殊化,,
bolster,n.枕垫；v.支持，鼓励,,
thwart,v.阻扰，使受挫折，挫败,,
thesis,n.论题，论文,,
grandeur,n.壮丽，伟大,,
cosset,v.宠爱，溺爱,,
valiant,a.勇敢的，英勇的,,
self-conscious,adj.自觉地，害羞的，不自然的,,
forfeiture,n.(名誉等)丧失,,
provident,a.深谋远虑的；节俭的,,
stride,v.大步行走,,
trumpery,a.中看不中用的,,
austerity,n.朴素，艰苦,,
upright,a.垂直的；正直的,,
ravishing,a.令人陶醉的，使人入迷的,,
deprive,n.剥夺；使丧失,,
sultry,a.(天气，空气)闷热的；(女人)风骚的，能激起性欲的,,
nonviable,a.无法生存的,,
die,n.金属模子，印模,,
skyrocket,v.突升，猛涨,,
subtract,v.减去，减掉,,
dependable,adj.可靠地，可信赖的,,
dispassionate,adj.平心静气的,,
entrepreneur,n.企业家，创业人,,
intersect,v.横截，横断；(线条)相交,,
remand,v.遣回；召回,,
enflame,v.燃烧,,
adorn,v.装饰,,
blade,n.刀锋，刀口,,
return,v.回复；归还；回答，反驳 n.回报 adj.返回的，重现的,,
dissonant,a.不和谐的，不一致的,,
fervid,a.热情的,,
shriek,v.尖叫,,
vengeful,a.渴望复仇的，复仇心理的,,
nibble,v.一点点地咬，慢慢啃,,
recount,v.叙述，描写,,
universal,adj.全体的，普遍的,,
wallow,v.打滚；沉迷 n.打滚,,
taboo,a.讳忌的；n.禁忌,,
tramp,v.重步走,,
footle,v.说胡话，做傻事；浪费（时间）,,
unarticulated,a.表达不清的,,
troll,v.用曳绳钓鱼；拖钓；兴高采烈地唱,,
alter,v.改变，更改,,
snitch,v.告密；偷,,
instantly,adv.立即，即刻 conj.一…就,,
expulsion,n.驱逐，逐出,,
dissolute,a.放荡的，行为不检的,,
douse,v.把…浸入水中；熄灭,,
backside,v.故态复萌,,
fold,n.羊栏，畜栏；v.折叠,,
thaw,v.解冻，溶化,,
